ClassCode,LineNo,Misc1,RoomNo,CourseName,Misc2,Year,Dept,StaffCode,ClassSize,TotalSize,TimetableYear,Misc3
VESPORT,JVE,0,G1,Sport,Year 8,8,Physical Education,CY,24,24,2025TT,VESPORT|JVE||||CY|G1|24|24||||2|0||
PIPEH,JPI,0,G1,Physical Education,Year 8,7,Physical Education,JA,21,21,2025TT,PIPEH|JPI||||JA|G1|21|21||||2|0||
MSPORT,81D,1,G1,Sport,Middle School,10,Physical Education,JM,22,45,2025TT,MSPORT||81|1|4|JM|G1|22|45||||1|0||
MSPORT,81C,1,G1,Sport,Middle School,10,Physical Education,JM,21,45,2025TT,MSPORT||81|1|3|JM|G1|21|45||||1|0||
SRSPORT,JSR,0,G1,Sport,Year 7,7,Physical Education,RW,19,19,2025TT,SRSPORT|JSR||||RW|G1|19|19||||2|0||
10PEH,10W,0,G2,Physical Education,Year 10,10,Physical Education,BA,23,23,2025TT,10PEH|10W||||BA|G2|23|23||||2|0||
10PEHHE,0,0,G2,10PEHHE,Year 10,10,PEHHE,BA,2,2,2025TT,10PEHHE|||||BA|G2|2|2|23053;22031|||3|0
9PEH,9S,0,G2,Physical Education,Year 9,9,Physical Education,BA,20,20,2025TT,9PEH|9S||||BA|G2|20|20||||2|0||
MTRPEH,MTR,0,G2,Physical Education,Middle School,10,Physical Education,BP,10,10,2025TT,MTRPEH|MTR||||BP|G2|10|10||||2|0||
10PEH,10H,0,G2,Physical Education,Year 10,10,Physical Education,BP,25,25,2025TT,10PEH|10H||||BP|G2|25|25||||2|0||
JTRPEH,JTR,0,G2,Physical Education,Junior School,8,Physical Education,BP,14,14,2025TT,JTRPEH|JTR||||BP|G2|14|14||||2|0||
10PEH,10S,0,G2,Physical Education,Year 10,10,Physical Education,MI,16,16,2025TT,10PEH|10S||||MI|G2|16|16||||2|0||
VEPEH,JVE,0,G2,Physical Education,Junior School,7,Physical Education,MI,24,24,2025TT,VEPEH|JVE||||MI|G2|24|24||||2|0||
9PEH,9W,0,GCC,Physical Education,Year 9,9,Physical Education,JA,18,18,2025TT,9PEH|9W||||JA|GCC|18|18||||2|0||
9WPEH,0,0,GCC,9WPEH,Year 9,9,WPEH,JA,1,1,2025TT,9WPEH|||||JA|GCC|1|1|22031|||3|0
MSPORT,81B,1,GCC,Sport,Middle School,10,Physical Education,JM,26,45,2025TT,MSPORT||81|1|2|JM|GCC|26|45||||1|0||
MSPORT,81A,1,GCC,Sport,Middle School,10,Physical Education,JM,25,45,2025TT,MSPORT||81|1|1|JM|GCC|25|45||||1|0||
300FURN,5,1,GR,Hard Materials,NCEA Level 3,13,Technology,MR,3,3,2025TT,300FURN||5|1|0|MR|GR|3|3||||1|0||
200FURN,6,1,GR,Hard Materials,NCEA Level 2,12,Technology,MR,19,19,2025TT,200FURN||6|1|0|MR|GR|19|19||||1|0||
100FURN,5,1,GR,Furniture,NCEA Level 1,11,Technology,MR,11,11,2025TT,100FURN||5|1|0|MR|GR|11|11||||1|0||
100DVC,1,1,GR,Design & Visual Communication,NCEA Level 1,11,Technology,MR,5,5,2025TT,100DVC||1|1|0|MR|GR|5|5||||1|0||
MDVC,82D,1,GR,Design and Visual Communication (DVC),Middle School,10,Technology,MR,6,16,2025TT,MDVC||82|1|4|MR|GR|6|16||||1|0||
MDVC,82C,1,GR,Design and Visual Communication (DVC),Middle School,10,Technology,MR,6,16,2025TT,MDVC||82|1|3|MR|GR|6|16||||1|0||
MDVC,82B,1,GR,Design and Visual Communication (DVC),Middle School,10,Technology,MR,13,16,2025TT,MDVC||82|1|2|MR|GR|13|16||||1|0||
MDVC,82A,1,GR,Design and Visual Communication (DVC),Middle School,10,Technology,MR,12,16,2025TT,MDVC||82|1|1|MR|GR|12|16||||1|0||
MWOOD,81D,1,GR,Hard Materials,Middle School,10,Technology,MR,18,32,2025TT,MWOOD||81|1|4|MR|GR|18|32||||1|0||
MWOOD,81C,1,GR,Hard Materials,Middle School,10,Technology,MR,18,32,2025TT,MWOOD||81|1|3|MR|GR|18|32||||1|0||
MWOOD,81B,1,GR,Hard Materials,Middle School,10,Technology,MR,17,32,2025TT,MWOOD||81|1|2|MR|GR|17|32||||1|0||
MWOOD,81A,1,GR,Hard Materials,Middle School,10,Technology,MR,14,32,2025TT,MWOOD||81|1|1|MR|GR|14|32||||1|0||
VEWOOD,JVE,0,GR,Hard Materials,Junior School,8,Technology,MR,24,24,2025TT,VEWOOD|JVE||||MR|GR|24|24||||2|0||
